Temperature,RH,Ws,Rain,FFMC,DMC,Region
0.6,-0.3181818181818182,-0.3333333333333333,0.8667119980696854,-0.25225225225225234,0.9344539037380761,1.0
-0.8,1.2272727272727273,0.0,0.0,-0.9969969969969972,-0.3358979204386613,1.0
0.8,0.36363636363636365,0.0,0.0,0.15615615615615577,0.9322709612254827,1.0
-0.4,0.6818181818181818,1.6666666666666667,1.0444293339767716,-1.4654654654654653,-0.6518327976925794,0.0
-0.8,0.3181818181818182,0.0,0.0,-0.21021021021021014,0.15328197610109953,1.0
-0.2,0.18181818181818182,0.6666666666666666,0.24550755570238164,-0.2582582582582589,-0.35635392775826213,0.0
1.0,-1.1818181818181819,-0.3333333333333333,0.0,0.6546546546546539,0.9101192081700248,1.0
0.0,0.45454545454545453,0.0,0.0,0.19219219219219144,0.6725438555594591,0.0
-1.4,1.1818181818181819,-0.6666666666666666,3.2269666776538948,-3.2912912912912904,-1.3890140478099058,0.0
-1.0,-0.18181818181818182,1.0,0.24550755570238164,-0.3183183183183189,-0.2139886717246512,1.0
0.6,-0.9545454545454546,0.0,0.6758187782806397,0.07807807807807789,0.24335940835881273,1.0
0.2,0.45454545454545453,-1.0,2.6521757375216555,-1.4114114114114114,-1.1154331806927518,0.0
0.8,-0.3181818181818182,0.3333333333333333,0.0,0.3303303303303302,0.5809292288688436,1.0
0.8,-0.36363636363636365,-0.6666666666666666,0.6758187782806397,-0.06006006006006004,0.24836501998804564,0.0
0.0,0.18181818181818182,-0.3333333333333333,4.391225974738561,-1.1291291291291294,-0.681960707108132,1.0
1.4,0.045454545454545456,-2.0,2.030971295154352,-0.5765765765765769,0.026511901037205382,1.0
-1.6,0.045454545454545456,0.0,0.4696383938445328,-0.9669669669669672,-0.7795352602540906,1.0
0.2,-0.045454545454545456,-1.6666666666666667,5.852722904780361,-1.075075075075075,-0.6518327976925794,1.0
-2.0,1.0454545454545454,0.0,6.20000100163711,-3.1771771771771764,-1.6394314430927017,0.0
0.6,-1.3181818181818181,0.6666666666666666,0.0,0.5285285285285282,0.5742212877313635,1.0
-0.4,1.1818181818181819,0.3333333333333333,1.210672799319732,-2.7687687687687683,-1.4643774527166458,0.0
-0.2,-0.36363636363636365,-1.3333333333333333,0.0,0.26426426426426364,0.2921044204450363,0.0
0.0,-0.13636363636363635,1.0,0.6758187782806397,-0.37837837837837895,0.0,0.0
0.6,0.13636363636363635,0.0,0.24550755570238164,-0.0420420420420422,0.8349695906720023,1.0
0.2,0.09090909090909091,0.0,0.24550755570238164,-0.12012012012012008,0.06475374607239522,0.0
0.8,0.8181818181818182,0.0,0.0,0.01801801801801784,0.8757397436203312,1.0
-0.8,0.9545454545454546,1.0,0.0,0.024024024024023503,0.13631702411292945,0.0
-1.0,0.6363636363636364,0.3333333333333333,0.0,-1.1171171171171173,-0.9305752154896259,0.0
0.2,-0.4090909090909091,-0.6666666666666666,0.0,0.288288288288288,-0.10010410077293305,0.0
0.4,-0.8636363636363636,-1.0,0.0,0.546546546546546,0.6264228814840217,1.0
-0.8,-0.5454545454545454,0.6666666666666666,2.1454736872160742,-0.7207207207207205,-0.28686430838289934,1.0
-0.4,0.45454545454545453,0.6666666666666666,1.6533383845857448,-1.2852852852852852,-1.0178586275467933,0.0
1.6,-1.3181818181818181,-0.3333333333333333,0.0,0.5945945945945939,-0.03437946454969359,1.0
-0.6,0.5,0.0,1.911141332046457,-1.4354354354354353,-0.6371700042204798,1.0
-0.4,0.6363636363636364,2.0,2.6521757375216555,-1.4954954954954953,-1.1969835165529241,0.0
0.4,-0.3181818181818182,0.6666666666666666,0.24550755570238164,0.07807807807807789,-0.11544576521982781,1.0
-0.2,0.22727272727272727,-0.3333333333333333,0.0,0.12012012012012008,0.05220159375265785,0.0
0.4,-0.6363636363636364,0.0,0.0,0.34834834834834805,0.6136776115681698,1.0
